year,parameter,description,unit_value
"2025","Minimum Weight","Car minimum weight with driver, excluding fuel","798 kg"
"2025","Wheelbase","Distance between front and rear axle centers","3600 mm max"
"2025","Overall Width","Maximum car width including bodywork and tires","2000 mm max"
"2025","Power Unit Specs","1.6L V6 Turbocharged Engine + MGU-K + MGU-H","~1000 hp total"
"2025","ICE Output","Internal Combustion Engine output","~740 hp (550 kW)"
"2025","MGU-K Output","Electrical energy recovery from braking","160 hp (120 kW)"
"2025","MGU-H Output","Electrical energy recovery from exhaust heat","Unlimited"
"2025","Sustainable Fuel","E10 Fuel (10% renewable ethanol, 90% fossil fuel)","10% renewable"
"2025","Aerodynamics","Ground effect floor, active rear wing (DRS) only","Static aero / DRS"
"2025","Budget Cost Cap","Financial spending cap for teams","~$135 million"
"2026","Minimum Weight","Car minimum weight with driver, excluding fuel (cut by 30kg)","768 kg"
"2026","Wheelbase","Distance between front and rear axle centers (cut by 200mm)","3400 mm max"
"2026","Overall Width","Maximum car width including bodywork and tires (cut by 100mm)","1900 mm max"
"2026","Power Unit Specs","1.6L V6 Turbocharged Engine + MGU-K (MGU-H removed)","~985 hp total"
"2026","ICE Output","Internal Combustion Engine output (reduced for efficiency)","535 hp (400 kW)"
"2026","MGU-K Output","Electrical energy recovery (increased by ~190%)","470 hp (350 kW)"
"2026","MGU-H Output","Motor Generator Unit - Heat (completely eliminated)","Removed"
"2026","Sustainable Fuel","100% fully sustainable synthetic e-fuels mandated","100% sustainable"
"2026","Aerodynamics","Active aerodynamics (Z-mode cornering, X-mode straight)","Active wings"
"2026","Budget Cost Cap","Financial spending cap for teams (adjusted for new era)","~$130 million"
"2026","Overtake Mode","Manual Override Mode (MOM) electrical boost above 290km/h","MOM active"
